maxRank,newRank,Nickname,UpdateTime,newScore,maxScore,listScore
62,62,Sakura,2024-12-07 23:56:55,0.632332,0.632332,[0.632332]
63,63,beautiy,2024-12-09 21:00:02,0.617263,0.617263,"[0.51426, 0.5, 0.617263, 0.617263]"
64,64,nnnnakosuki,2024-12-08 21:33:30,0.615575,0.615575,[0.615575]
65,65,Kkxx,2024-12-07 12:55:13,0.608642,0.608642,[0.608642]
66,66,Queennevercry,2024-12-08 22:41:37,0.606644,0.606644,[0.606644]
67,67,hao,2024-11-28 13:22:50,0.605904,0.605904,[0.605904]
68,68,Carol,2024-12-04 14:28:08,0.604434,0.604434,[0.604434]
69,119,是我呦,2024-12-07 21:03:35,0.539041,0.603018,"[0.603018, 0.58591, 0.58591, 0.603018, 0.505304, 0.58591, 0.603018, 0.5, 0.533785, 0.512911, 0.539041]"
70,69,小红书,2024-12-08 11:23:18,0.60188,0.60188,[0.60188]
71,70,她说是酱油染的,2024-12-02 19:06:10,0.600973,0.600973,[0.600973]
72,71,聪明,2024-12-03 10:42:56,0.600432,0.600432,[0.600432]
73,72,Zzzzzzz,2024-12-01 21:12:48,0.598687,0.598687,[0.598687]
74,73,hhhhh,2024-11-27 22:07:25,0.597307,0.597307,[0.597307]
75,74,Liii777,2024-12-09 21:10:05,0.596632,0.596632,"[0.596565, 0.596632]"
76,75,狸CL,2024-12-08 17:25:33,0.596345,0.596345,[0.596345]
77,76,俯仰之间,2024-12-09 11:01:16,0.596077,0.596077,[0.596077]
78,77,根本打不赢,2024-11-30 13:13:31,0.594542,0.594542,[0.594542]
79,78,闪电,2024-11-29 15:41:55,0.590375,0.590375,[0.590375]
80,79,想不起来名,2024-12-08 00:20:13,0.585561,0.585561,[0.585561]
81,80,光岚岚,2024-12-03 22:36:42,0.585529,0.585529,[0.585529]
82,81,JOLY,2024-12-04 13:41:25,0.584108,0.584108,[0.584108]
83,82,半夜吃苹果,2024-12-03 22:31:47,0.581038,0.581038,[0.581038]
84,83,Sennheiser,2024-12-09 13:52:44,0.577511,0.577511,[0.577511]
85,101,atmtdykkxxy,2024-12-03 22:34:11,0.576048,0.576048,[0.576048]
86,103,lulu 露,2024-12-03 23:30:15,0.576048,0.576048,[0.576048]
87,104,hz,2024-12-03 22:05:03,0.576048,0.576048,"[0.576048, 0.576048]"
88,105,Corn poppy,2024-12-03 22:58:01,0.576048,0.576048,[0.576048]
89,106,梁沐茜,2024-12-05 22:28:00,0.576048,0.576048,[0.576048]
90,107,Vesper,2024-12-03 22:55:22,0.576048,0.576048,[0.576048]
91,108,李姝瑶,2024-12-03 22:32:29,0.576048,0.576048,[0.576048]
92,109,思觉失调,2024-12-03 22:23:14,0.576048,0.576048,[0.576048]
93,116,Florence Vision,2024-12-03 22:30:45,0.576048,0.576048,[0.576048]
94,110,zyq,2024-12-03 22:31:14,0.576048,0.576048,[0.576048]
95,111,incentive,2024-12-03 22:30:42,0.576048,0.576048,[0.576048]
96,112,微凉,2024-12-08 17:17:23,0.576048,0.576048,[0.576048]
97,113,Star---,2024-12-03 23:35:07,0.576048,0.576048,[0.576048]
98,114,每天都很想飞,2024-12-03 22:46:00,0.576048,0.576048,[0.576048]
99,115,And,2024-12-03 22:14:41,0.576048,0.576048,[0.576048]
100,102,文艺小青年,2024-12-06 01:11:33,0.576048,0.576048,[0.576048]
101,93,Zia,2024-12-03 22:48:51,0.576048,0.576048,[0.576048]
102,100,默.,2024-12-04 16:34:39,0.576048,0.576048,[0.576048]
103,90,22t,2024-12-03 22:26:05,0.576048,0.576048,[0.576048]
104,84,mmmjy,2024-12-03 22:45:24,0.576048,0.576048,[0.576048]
105,85,vera,2024-12-03 23:49:10,0.576048,0.576048,[0.576048]
106,86,J=J,2024-12-03 22:33:12,0.576048,0.576048,[0.576048]
107,87,梁宇乐,2024-12-03 22:33:42,0.576048,0.576048,[0.576048]
108,99,小猪猪,2024-12-03 22:33:09,0.576048,0.576048,[0.576048]
109,89,一只小y,2024-12-03 22:21:53,0.576048,0.576048,[0.576048]
110,88,拉布拉多,2024-12-03 22:17:32,0.576048,0.576048,[0.576048]
111,91,IceBear,2024-12-03 22:40:13,0.576048,0.576048,[0.576048]
112,92,雨璘,2024-12-03 22:21:57,0.576048,0.576048,[0.576048]
113,94,东kkkkkk,2024-12-03 22:35:26,0.576048,0.576048,[0.576048]
114,95,易安,2024-12-03 22:17:23,0.576048,0.576048,[0.576048]
115,96,鹤望兰,2024-12-03 22:28:59,0.576048,0.576048,[0.576048]
116,97,Devin,2024-12-03 22:48:16,0.576048,0.576048,[0.576048]
117,98,I_yln,2024-12-03 22:33:59,0.576048,0.576048,[0.576048]
118,117,xu,2024-11-26 09:24:40,0.562061,0.562061,[0.562061]
119,118,asasdi,2024-12-05 22:26:15,0.540824,0.540824,[0.540824]
120,120,Der_F,2024-12-04 22:07:46,0.531393,0.531393,[0.531393]
121,121,邢,2024-12-09 19:41:04,0.510378,0.510378,[0.510378]
122,122,权平八,2024-11-27 15:38:51,0.508456,0.508456,[0.508456]
123,123,locationL,2024-12-09 15:11:30,0.5,0.5,"[0.5, 0.5]"
